iter	MultiClass
0	1.031181401
1	0.9740774101
2	0.9229925122
3	0.8762819401
4	0.8344841907
5	0.7981508094
6	0.7643589145
7	0.7336426795
8	0.7054568273
9	0.6791436157
10	0.6555453662
11	0.633319677
12	0.612434464
13	0.5921393318
14	0.5741039528
15	0.557312071
16	0.5418122375
17	0.5265601616
18	0.5129750062
19	0.4997349418
20	0.4871240891
21	0.476383726
22	0.465380077
23	0.455469889
24	0.4454064712
25	0.4361765719
26	0.4273741506
27	0.4196057792
28	0.4116534367
29	0.4042538339
30	0.3974157694
31	0.3912437066
32	0.3855209819
33	0.3798355457
34	0.3744475967
35	0.3692077774
36	0.3641529951
37	0.359737799
38	0.3555766844
39	0.3516171081
40	0.3472549466
41	0.3437485554
42	0.3399245103
43	0.3364637626
44	0.3332484322
45	0.3304659498
46	0.3273666382
47	0.3246579848
48	0.3219565845
49	0.3196453871
50	0.3171703778
51	0.3151976264
52	0.3128964488
53	0.3110709752
54	0.3088146794
55	0.3070718287
56	0.3053471944
57	0.3035803035
58	0.3018275294
59	0.3004753919
60	0.2994539096
61	0.2978593547
62	0.2965441782
63	0.2948873447
64	0.2934290898
65	0.2918534249
66	0.2908205503
67	0.2895373073
68	0.2885291714
69	0.2875113575
70	0.2863079286
71	0.2850538995
72	0.2840378227
73	0.2830867748
74	0.2822390339
75	0.2816636762
76	0.2808600311
77	0.2800594313
78	0.2795299583
79	0.2785997968
80	0.2778358282
81	0.2769163938
82	0.276177712
83	0.2753796172
84	0.2746611804
85	0.2739085632
86	0.2732033806
87	0.2723975631
88	0.2717507428
89	0.2712365406
90	0.270523321
91	0.2699210422
92	0.2694489846
93	0.2686993147
94	0.2682375012
95	0.2676271203
96	0.2669776636
97	0.2663660485
98	0.2658209717
99	0.2652822391
100	0.2646845196
101	0.2642423237
102	0.2638087499
103	0.2632210147
104	0.262742767
105	0.2623045874
106	0.261850693
107	0.2612793039
108	0.260714599
109	0.2604232555
110	0.2601293925
111	0.2597909968
112	0.2591945497
113	0.2586908185
114	0.2582810731
115	0.2578070605
116	0.2573167645
117	0.2570461163
118	0.2567987135
119	0.2564821533
120	0.2559834871
121	0.2556611269
122	0.2551642519
123	0.2547465187
124	0.2545589079
125	0.2542638035
126	0.2540683462
127	0.2537699629
128	0.2534337862
129	0.2531291259
130	0.2528949891
131	0.2525926456
132	0.2523028085
133	0.2519007399
134	0.251757721
135	0.2512534372
136	0.2509563094
137	0.2508452945
138	0.2505103916
139	0.2502817738
140	0.2498148268
141	0.2494003587
142	0.249148236
143	0.2487132938
144	0.2483523162
145	0.2481014474
146	0.2476023832
147	0.2473111679
148	0.2471069135
149	0.2468779183
