iter	Passed	Remaining
0	160	23980
1	164	12201
2	167	8226
3	171	6248
4	174	5070
5	179	4308
6	182	3738
7	186	3305
8	189	2968
9	192	2696
10	195	2473
11	198	2287
12	201	2128
13	205	1993
14	208	1876
15	211	1773
16	215	1682
17	218	1600
18	221	1527
19	224	1459
20	228	1401
21	231	1344
22	234	1293
23	237	1245
24	240	1202
25	243	1161
26	246	1123
27	249	1087
28	252	1054
29	255	1023
30	259	995
31	262	967
32	266	944
33	269	919
34	272	896
35	276	874
36	279	853
37	282	832
38	285	812
39	288	794
40	291	775
41	295	758
42	298	742
43	301	726
44	304	711
45	308	696
46	311	682
47	314	668
48	317	655
49	321	642
50	325	631
51	329	620
52	333	610
53	337	599
54	346	598
55	351	590
56	356	581
57	364	578
58	370	572
59	376	565
60	382	558
61	395	561
62	401	554
63	408	548
64	416	544
65	423	539
66	428	530
67	431	520
68	435	510
69	439	502
70	444	494
71	451	489
72	456	481
73	461	473
74	465	465
75	469	457
76	473	449
77	477	441
78	481	433
79	485	425
80	490	417
81	493	409
82	497	401
83	500	393
84	504	386
85	508	378
86	513	371
87	518	365
88	523	358
89	527	351
90	531	344
91	535	337
92	539	330
93	543	323
94	546	316
95	550	309
96	553	302
97	557	295
98	560	288
99	564	282
100	568	275
101	571	268
102	574	262
103	578	255
104	582	249
105	588	244
106	593	238
107	599	233
108	603	226
109	607	220
110	611	214
111	615	208
112	618	202
113	622	196
114	627	190
115	631	184
116	634	179
117	638	173
118	641	167
119	645	161
120	649	155
121	652	149
122	656	144
123	659	138
124	663	132
125	666	126
126	669	121
127	673	115
128	676	110
129	680	104
130	683	99
131	686	93
132	690	88
133	693	82
134	696	77
135	700	72
136	704	66
137	707	61
138	711	56
139	714	51
140	718	45
141	721	40
142	725	35
143	728	30
144	732	25
145	737	20
146	740	15
147	744	10
148	748	5
149	752	0
